DB	ID	ID_REPET	TE_LEN	FAMILY	CHR	START	END	STRAND	LEN_DIFF	INTERSECT	INTERACT	TYPE_INTERACT	NMERGE
FLYBASE	FBti0061399	.	98	Doc	2L	16857078	16857176	+	-1	69	1	Y	0
BOTH	FBti0061428	ISO1_211_H	734	H	2L	16858766	16859500	-	8	734	1	N	0
FLYBASE	FBti0061431	.	27	INE-1	2L	16936423	16936450	+	-1	0	0	-	0
BOTH	FBti0019186	ISO1_212_Doc	4722	Doc	2L	16958166	16962888	+	7	4722	1	N	0
REPET	ISO1_213_Kepler	.	179	Kepler	2L	17097109	17097288	-	-1	0	0	-	0
BOTH	FBti0019187	ISO1_214_Nomad	7614	Nomad	2L	17144385	17151999	-	18	7614	1	N	0
BOTH	FBti0019188	ISO1_215_pogo	185	pogo	2L	17167618	17167803	+	1	185	1	N	0
FLYBASE	FBti0061433	.	60	INE-1	2L	17175294	17175354	-	-1	0	0	-	0
REPET	ISO1_216_INE-1	.	403	INE-1	2L	17177975	17178378	-	-1	0	0	-	0
REPET	ISO1_217_INE-1	.	274	INE-1	2L	17182622	17182896	+	-1	0	0	-	0
BOTH	FBti0019189	ISO1_218_H	1405	H	2L	17199217	17200622	-	4	1405	1	N	0
BOTH	FBti0019190	ISO1_219_F-element	4698	F-element	2L	17273263	17277961	-	4	4694	1	N	0
REPET	ISO1_220_INE-1	.	138	INE-1	2L	17282690	17282828	+	-1	0	0	-	0
BOTH	FBti0019771	ISO1_221_1360	1105	1360	2L	17335603	17336708	-	1	1105	1	N	0
BOTH	FBti0061482	ISO1_222_INE-1	393	INE-1	2L	17361747	17362140	-	16	377	1	N	0
FLYBASE	FBti0061506	.	47	1360	2L	17432071	17432118	+	-1	0	0	-	0
REPET	ISO1_223_INE-1	.	101	INE-1	2L	17456191	17456292	+	-1	0	0	-	0
BOTH	FBti0061483	ISO1_224_INE-1	210	INE-1	2L	17458171	17458381	+	25	210	1	N	0
FLYBASE	FBti0061507	.	74	INE-1	2L	17520662	17520736	+	-1	0	0	-	0
FLYBASE	FBti0061508	.	52	INE-1	2L	17555993	17556045	-	-1	0	0	-	0
BOTH	FBti0061509	ISO1_225_INE-1	62	INE-1	2L	17567503	17567565	-	305	60	1	N	0
REPET	ISO1_226_INE-1	.	248	INE-1	2L	17638941	17639189	+	-1	0	0	-	0
BOTH	FBti0019191	ISO1_227_F-element	4707	F-element	2L	17687542	17692249	+	12	4695	1	N	0
BOTH	FBti0019192	ISO1_228_H	1405	H	2L	17727904	17729309	+	4	1405	1	N	0
FLYBASE	FBti0061526	.	84	INE-1	2L	17783626	17783710	+	-1	0	0	-	0
BOTH	FBti0019193	ISO1_229_Copia	5144	Copia	2L	17819978	17825122	-	7	5144	1	N	0
BOTH	FBti0019194	ISO1_230_pogo	2122	pogo	2L	17912012	17914134	-	1	2122	1	N	0
FLYBASE	FBti0061539	.	44	INE-1	2L	17924328	17924372	-	-1	0	0	-	0
BOTH	FBti0061540	ISO1_231_INE-1	107	INE-1	2L	17941321	17941428	-	9	106	1	N	0
BOTH	FBti0019195	ISO1_232_H	1405	H	2L	17952004	17953409	-	12	1405	1	N	0
BOTH	FBti0061541	ISO1_233_INE-1	465	INE-1	2L	17973634	17974099	+	3	465	1	N	0
BOTH	FBti0061542	ISO1_234_INE-1	70	INE-1	2L	17999804	17999874	+	73	70	1	N	0
BOTH	FBti0061543	ISO1_235_INE-1	400	INE-1	2L	18011745	18012145	+	73	400	1	N	0
BOTH	FBti0019196	ISO1_236_roo	9088	roo	2L	18051931	18061019	+	1	9087	1	N	0
REPET	ISO1_237_INE-1	.	168	INE-1	2L	18111269	18111437	-	-1	0	0	-	0
BOTH	FBti0019197	ISO1_238_Tc1	610	Tc1	2L	18113589	18114199	+	2	610	1	N	0
BOTH	FBti0061563	ISO1_239_INE-1	577	INE-1	2L	18159138	18159715	+	15	562	1	N	0
BOTH	FBti0061564	ISO1_240_INE-1	89	INE-1	2L	18177178	18177267	-	63	89	1	N	0
FLYBASE	FBti0061574	.	76	INE-1	2L	18282997	18283073	+	-1	0	0	-	0
BOTH	FBti0019198	ISO1_241_Doc	4718	Doc	2L	18408082	18412800	+	4	4718	1	N	0
BOTH	FBti0061980	ISO1_242_INE-1	68	INE-1	2L	18444086	18444154	+	195	68	1	N	0
REPET	ISO1_243_INE-1	.	203	INE-1	2L	18473900	18474103	-	-1	0	0	-	0
BOTH	FBti0019199	ISO1_244_Doc	2795	Doc	2L	18581421	18584216	+	3	2795	1	N	0
BOTH	FBti0061981	ISO1_245_INE-1	269	INE-1	2L	18612660	18612929	-	16	269	1	N	0
BOTH	FBti0019200	ISO1_246_Doc	4722	Doc	2L	18633668	18638390	-	7	4722	1	N	0
REPET	ISO1_247_gypsy6	.	193	gypsy6	2L	18689040	18689233	+	-1	0	0	-	0
BOTH	FBti0061996	ISO1_248_INE-1	444	INE-1	2L	18791361	18791805	-	21	434	1	N	0
REPET	ISO1_249_Invader2	.	141	Invader2	2L	18838650	18838791	-	-1	0	0	-	0
BOTH	FBti0062509	ISO1_250_INE-1	308	INE-1	2L	18852428	18852736	-	27	308	1	N	0
REPET	ISO1_251_INE-1	.	194	INE-1	2R	5985918	5986112	-	-1	0	0	-	0
FLYBASE	FBti0063859	.	89	INE-1	2R	5986150	5986239	-	-1	0	0	-	0
BOTH	FBti0063861	ISO1_252_INE-1	374	INE-1	2R	5987277	5987651	-	8	374	1	N	0
BOTH	FBti0063862	ISO1_253_INE-1	351	INE-1	2R	5989459	5989810	-	59	290	1	N	0
REPET	ISO1_254_INE-1	.	194	INE-1	2R	6002858	6003052	-	-1	0	0	-	0
REPET	ISO1_255_INE-1	.	163	INE-1	2R	6005444	6005607	+	-1	0	0	-	0
BOTH	FBti0063863	ISO1_256_INE-1	52	INE-1	2R	6016544	6016596	+	161	50	1	N	0
FLYBASE	FBti0063864	.	49	INE-1	2R	6020439	6020488	-	-1	0	0	-	0
BOTH	FBti0064270	ISO1_257_INE-1	50	INE-1	2R	6023947	6023997	+	869	50	1	N	0
BOTH	FBti0064272	ISO1_257_INE-1	82	INE-1	2R	6024077	6024159	+	837	82	1	N	0
BOTH	FBti0064274	ISO1_258_INE-1	601	INE-1	2R	6030250	6030851	-	5	601	1	N	0
BOTH	FBti0064275	ISO1_259_INE-1|ISO1_260_INE-1	366	INE-1	2R	6031342	6031708	+	NA	NA	2	N	2
BOTH	FBti0064277	ISO1_261_INE-1	94	INE-1	2R	6034268	6034362	+	175	94	1	N	0
REPET	ISO1_262_NOF	.	273	NOF	2R	6034393	6034666	-	-1	0	0	-	0
REPET	ISO1_263_NOF	.	256	NOF	2R	6034721	6034977	+	-1	0	0	-	0
BOTH	FBti0064278	ISO1_264_INE-1	180	INE-1	2R	6038994	6039174	-	59	180	1	N	0
BOTH	FBti0064279	ISO1_265_INE-1	331	INE-1	2R	6040990	6041321	+	3	331	1	N	0
FLYBASE	FBti0064309	.	58	1360	2R	6041335	6041393	-	-1	0	0	-	0
BOTH	FBti0064283	ISO1_266_INE-1	55	INE-1	2R	6045725	6045780	-	65	55	1	N	0
BOTH	FBti0064284	ISO1_267_INE-1	106	INE-1	2R	6046293	6046399	+	38	106	1	N	0
REPET	ISO1_268_INE-1	.	125	INE-1	2R	6048933	6049058	-	-1	0	0	-	0
BOTH	FBti0064287	ISO1_269_INE-1	139	INE-1	2R	6061284	6061423	-	10	136	1	N	0
BOTH	FBti0018875	ISO1_270_BS	5127	BS	2R	6096784	6101911	+	6	5127	1	N	0
BOTH	FBti0064289	ISO1_271_INE-1	41	INE-1	2R	6155649	6155690	+	942	41	1	N	0
BOTH	FBti0064291	ISO1_272_INE-1	89	INE-1	2R	6159321	6159410	-	32	89	1	N	0
BOTH	FBti0064293	ISO1_273_INE-1	164	INE-1	2R	6160638	6160802	-	8	156	1	N	0
BOTH	FBti0064295	ISO1_274_INE-1	203	INE-1	2R	6160989	6161192	+	570	203	1	N	0
BOTH	FBti0064296	ISO1_274_INE-1|ISO1_275_INE-1	349	INE-1	2R	6161620	6161969	+	NA	NA	2	N	2
BOTH	FBti0061491	ISO1_276_INE-1	158	INE-1	2R	6162768	6162926	+	139	158	1	N	0
BOTH	FBti0059791	ISO1_277_Tc1-2	1373	Tc1-2	2R	6163223	6164596	-	4	1373	1	N	0
FLYBASE	FBti0059788	.	30	1360	2R	6164800	6164830	-	-1	0	0	-	0
BOTH	FBti0064300	ISO1_278_INE-1	101	INE-1	2R	6166405	6166506	-	0	101	1	N	0
FLYBASE	FBti0059790	.	30	1360	2R	6169881	6169911	-	-1	0	0	-	0
BOTH	FBti0064302	ISO1_279_INE-1	141	INE-1	2R	6172381	6172522	-	90	141	1	N	0
REPET	ISO1_280_Kepler	.	155	Kepler	2R	6177018	6177173	+	-1	0	0	-	0
BOTH	FBti0064304	ISO1_281_INE-1	128	INE-1	2R	6177284	6177412	+	14	128	1	N	0
BOTH	FBti0064305	ISO1_282_INE-1	226	INE-1	2R	6198423	6198649	-	11	226	1	N	0
FLYBASE	FBti0064306	.	80	INE-1	2R	6198655	6198735	+	-1	0	0	-	0
REPET	ISO1_283_INE-1	.	192	INE-1	2R	6199760	6199952	-	-1	0	0	-	0
BOTH	FBti0059802	ISO1_284_INE-1	234	INE-1	2R	6217539	6217773	-	5	234	1	N	0
FLYBASE	FBti0059804	.	56	INE-1	2R	6223335	6223391	-	-1	0	0	-	0
FLYBASE	FBti0059807	.	56	INE-1	2R	6234498	6234554	+	-1	0	0	-	0
BOTH	FBti0060276	ISO1_285_Tc3	225	Tc3	2R	6236757	6236982	-	307	225	1	N	0
BOTH	FBti0059809	ISO1_286_INE-1	424	INE-1	2R	6241049	6241473	+	32	392	1	N	0
BOTH	FBti0059811	ISO1_287_INE-1	172	INE-1	2R	6243270	6243442	+	72	172	1	N	0
BOTH	FBti0059813	ISO1_288_INE-1	270	INE-1	2R	6243716	6243986	-	216	208	1	N	0
BOTH	FBti0059815	ISO1_288_INE-1	246	INE-1	2R	6244020	6244266	-	240	244	1	N	0
BOTH	FBti0059817	ISO1_289_INE-1|ISO1_291_INE-1|ISO1_292_INE-1	1675	INE-1	2R	6254493	6256168	-	NA	NA	4	Y	3
BOTH	FBti0059797	ISO1_290_BS2	231	BS2	2R	6255432	6255663	-	2	230	1	N	0
BOTH	FBti0059827	ISO1_291_INE-1	85	INE-1	2R	6255911	6255996	+	67	85	1	N	0
BOTH	FBti0059727	ISO1_297_Rt1b|ISO1_317_Rt1b|ISO1_319_Rt1b|ISO1_327_Rt1b|ISO1_316_Rt1b	66000	Rt1b	2R	6256173	6322173	+	NA	NA	35	Y	5
BOTH	FBti0059862	ISO1_293_BS3	214	BS3	2R	6256218	6256432	+	0	214	1	N	0
BOTH	FBti0018898	ISO1_294_Cr1a	2548	Cr1a	2R	6256438	6258986	+	1	200	2	N	1
REPET	ISO1_295_Chimpo	.	200	Chimpo	2R	6258709	6258909	-	-1	0	0	-	0
BOTH	FBti0019275	ISO1_296_1360	1095	1360	2R	6258987	6260082	+	1	1095	1	N	0
BOTH	FBti0018932	ISO1_297_Rt1b	919	Rt1b	2R	6260106	6261025	-	62	857	1	N	0
BOTH	FBti0059728	ISO1_298_I-element|ISO1_301_I-element	7965	I-element	2R	6261269	6269234	+	NA	NA	5	Y	2
BOTH	FBti0059690	ISO1_299_BS2	4453	BS2	2R	6261996	6266449	-	13	4453	2	N	1
BOTH	FBti0060274	ISO1_300_gypsy12	902	gypsy12	2R	6267305	6268207	+	0	902	1	N	0
BOTH	FBti0060277	ISO1_302_HMS-Beagle2	335	HMS-Beagle2	2R	6268742	6269077	-	3	335	2	N	1
BOTH	FBti0059846	ISO1_303_H	563	H	2R	6269305	6269868	-	8	555	2	N	1
BOTH	FBti0059774	ISO1_304_GATE|ISO1_308_GATE|ISO1_309_GATE|ISO1_310_GATE|ISO1_312_GATE|ISO1_313_GATE	17701	GATE	2R	6269892	6287593	+	NA	NA	10	Y	6
BOTH	FBti0060267	ISO1_305_Max-element|ISO1_307_Max-element	9376	Max-element	2R	6270674	6280050	+	NA	NA	3	Y	2
BOTH	FBti0019946	ISO1_306_rover	407	rover	2R	6271414	6271821	+	88	87	2	N	1
BOTH	FBti0019949	ISO1_309_GATE	1820	GATE	2R	6280621	6282441	-	0	1820	1	N	0
REPET	ISO1_311_Max-element	.	619	Max-element	2R	6286178	6286797	+	-1	0	0	-	0
BOTH	FBti0019951	ISO1_312_GATE	561	GATE	2R	6286204	6286765	-	9	561	2	N	1
FLYBASE	FBti0059884	.	60	Rt1c	2R	6287611	6287671	+	-1	0	0	-	0
BOTH	FBti0059849	ISO1_314_H	587	H	2R	6287766	6288353	-	1	586	1	N	0
FLYBASE	FBti0059886	.	47	FB4	2R	6288354	6288401	+	-1	0	0	-	0
BOTH	FBti0019954	ISO1_315_NOF	2005	NOF	2R	6288402	6290407	-	3	2005	1	N	0
BOTH	FBti0018933	ISO1_316_Rt1b	1019	Rt1b	2R	6290553	6291572	-	4	1019	1	N	0
BOTH	FBti0060289	ISO1_318_NOF	544	NOF	2R	6292533	6293077	+	24	541	2	N	1
BOTH	FBti0059729	ISO1_326_roo|ISO1_320_roo	26763	roo	2R	6294165	6320928	+	NA	NA	7	Y	2
BOTH	FBti0060275	ISO1_321_gypsy12	10000	gypsy12	2R	6296669	6306669	-	0	10000	2	N	1
BOTH	FBti0019957	ISO1_322_BS	5020	BS	2R	6307146	6312166	-	14	5020	2	N	1
BOTH	FBti0018912	ISO1_323_F-element	4698	F-element	2R	6312480	6317178	+	5	4693	2	N	1
BOTH	FBti0059833	ISO1_323_F-element	4691	F-element	2R	6313028	6317719	-	2	4150	2	N	1
FLYBASE	FBti0060279	.	202	1731	2R	6317185	6317387	-	-1	195	1	Y	0
REPET	ISO1_324_Copia2	.	628	Copia2	2R	6317192	6317820	-	-1	0	0	-	0
REPET	ISO1_325_Copia-1_Dse	.	2873	Copia-1_Dse	2R	6317823	6320696	+	-1	0	0	-	0
FLYBASE	FBti0060256	.	2772	Copia2	2R	6317835	6320607	-	-1	2772	1	Y	0
BOTH	FBti0018939	ISO1_328_Rt1c	1100	Rt1c	2R	6322190	6323290	+	4	3	2	N	1
BOTH	FBti0059851	ISO1_329_H	608	H	2R	6323404	6324012	-	112	607	1	N	0
FLYBASE	FBti0059887	.	47	FB4	2R	6324013	6324060	+	-1	0	0	-	0
BOTH	FBti0059660	ISO1_332_NOF|ISO1_335_NOF|ISO1_330_NOF	16461	NOF	2R	6324061	6340522	-	NA	NA	6	Y	3
REPET	ISO1_331_gypsy12	.	2137	gypsy12	2R	6324752	6326889	-	-1	0	0	-	0
BOTH	FBti0059645	ISO1_333_rooA	12817	rooA	2R	6327017	6339834	-	7	12809	3	N	1
REPET	ISO1_334_Stalker4	.	7375	Stalker4	2R	6330317	6337692	-	-1	0	0	-	0
REPET	ISO1_336_1731	.	258	1731	2R	6340991	6341249	-	-1	0	0	-	0
BOTH	FBti0059865	ISO1_337_1360	173	1360	2R	6341353	6341526	-	245	173	1	N	0
BOTH	FBti0059868	ISO1_338_1360	415	1360	2R	6341778	6342193	+	0	415	1	N	0
BOTH	FBti0059869	ISO1_339_Invader3	104	Invader3	2R	6344735	6344839	+	16602	104	1	N	0
BOTH	FBti0060280	ISO1_340_1731	4647	1731	2R	6346949	6351596	-	2	4647	2	N	1
REPET	ISO1_341_Copia2	.	466	Copia2	2R	6355609	6356075	+	-1	0	0	-	0
BOTH	FBti0060258	ISO1_342_Copia2	1715	Copia2	2R	6360178	6361893	+	2055	1715	2	N	1
REPET	ISO1_343_1731	.	211	1731	2R	6361737	6361948	+	-1	0	0	-	0
BOTH	FBti0059870	ISO1_344_Invader3	112	Invader3	2R	6363000	6363112	+	4975	112	1	N	0
BOTH	FBti0059871	ISO1_344_Invader3	123	Invader3	2R	6367022	6367145	+	4964	123	1	N	0
BOTH	FBti0060260	ISO1_345_Copia2	1267	Copia2	2R	6367244	6368511	-	0	1267	1	N	0
BOTH	FBti0059872	ISO1_346_Invader3	112	Invader3	2R	6369611	6369723	+	13689	112	1	N	0
BOTH	FBti0059881	ISO1_346_Invader3	123	Invader3	2R	6374040	6374163	+	13678	123	1	N	0
BOTH	FBti0060261	ISO1_347_Copia2	1267	Copia2	2R	6374262	6375529	-	0	1267	2	N	1
BOTH	FBti0059883	ISO1_346_Invader3	112	Invader3	2R	6376629	6376741	+	13689	112	1	N	0
BOTH	FBti0060263	ISO1_348_Copia2	909	Copia2	2R	6382327	6383236	-	0	909	1	N	0
REPET	ISO1_349_Invader3	.	901	Invader3	2R	6383248	6384149	+	-1	0	0	-	0
BOTH	FBti0060253	ISO1_350_Invader1	8728	Invader1	2R	6384156	6392884	+	13	8728	2	N	1
BOTH	FBti0059831	ISO1_351_F-element	4691	F-element	2R	6386769	6391460	-	1	4691	2	N	1
REPET	ISO1_352_Invader3	.	5203	Invader3	2R	6392892	6398095	+	-1	0	0	-	0
BOTH	FBti0131273	ISO1_353_Copia1	4532	Copia1	2R	6398094	6402626	+	2	1	2	N	1
FLYBASE	FBti0061510	.	1341	Copia2	2R	6398866	6400207	+	-1	1341	1	Y	0
FLYBASE	FBti0060366	.	1488	frogger	2R	6400842	6402330	-	-1	1488	1	Y	0
REPET	ISO1_354_Invader3	.	14024	Invader3	2R	6402640	6416664	+	-1	0	0	-	0
BOTH	FBti0060312	ISO1_355_Doc6	4235	Doc6	2R	6411090	6415325	-	0	4235	2	N	1
REPET	ISO1_356_Invader3	.	1795	Invader3	2R	6417196	6418991	+	-1	0	0	-	0
BOTH	FBti0060387	ISO1_357_Circe	814	Circe	2R	6419005	6419819	+	2	814	1	N	0
REPET	ISO1_358_Gypsy-6_Dse	.	5551	Gypsy-6_Dse	2R	6422394	6427945	+	-1	0	0	-	0
BOTH	FBti0060363	ISO1_359_Invader6	4858	Invader6	2R	6422772	6427630	+	0	4858	2	N	1
BOTH	FBti0018885	ISO1_360_Circe	5412	Circe	2R	6427946	6433358	+	0	5412	1	N	0
REPET	ISO1_361_Gypsy-2_Dsim	.	2367	Gypsy-2_Dsim	2R	6433378	6435745	-	-1	0	0	-	0
FLYBASE	FBti0060400	.	49	Micropia	2R	6433379	6433428	-	-1	49	1	Y	0
FLYBASE	FBti0060364	.	760	Invader6	2R	6433548	6434308	-	-1	760	1	Y	0
FLYBASE	FBti0060359	.	52	Invader1	2R	6434515	6434567	-	-1	52	1	Y	0
FLYBASE	FBti0060345	.	1000	Invader4	2R	6434741	6435741	-	-1	1000	1	Y	0
REPET	ISO1_362_Copia-3_Dbp	.	3121	Copia-3_Dbp	2R	6436108	6439229	+	-1	0	0	-	0
FLYBASE	FBti0060341	.	380	Blastopia	2R	6436143	6436523	-	-1	380	1	Y	0
FLYBASE	FBti0060404	.	136	1731	2R	6438900	6439036	-	-1	136	1	Y	0
BOTH	FBti0059704	ISO1_363_GATE|ISO1_365_GATE|ISO1_366_GATE	7834	GATE	2R	6439253	6447087	+	NA	NA	4	Y	3
REPET	ISO1_364_Max-element	.	2736	Max-element	2R	6443396	6446132	+	-1	0	0	-	0
BOTH	FBti0019963	ISO1_365_GATE	536	GATE	2R	6445573	6446109	-	40	536	2	N	1
BOTH	FBti0060347	ISO1_367_GATE	253	GATE	2R	6449002	6449255	-	3563	253	1	N	0
FLYBASE	FBti0060309	.	1237	Copia	2R	6449307	6450544	+	-1	1237	1	Y	0
BOTH	FBti0019007	ISO1_368_Rt1a	5038	Rt1a	2R	6450920	6455958	+	258	5038	1	N	0
FLYBASE	FBti0019966	.	212	S-element	2R	6456092	6456304	-	-1	113	1	Y	0
BOTH	FBti0019967	ISO1_369_Rt1b	3619	Rt1b	2R	6456305	6459924	-	139	3480	2	N	1
REPET	ISO1_370_Rt1a	.	142	Rt1a	2R	6459804	6459946	-	-1	0	0	-	0
BOTH	FBti0060361	ISO1_371_Invader1	162	Invader1	2R	6460153	6460315	-	0	162	1	N	0
FLYBASE	FBti0060326	.	79	Tabor	2R	6460316	6460395	+	-1	35	1	Y	0
REPET	ISO1_372_gypsy11	.	316	gypsy11	2R	6460360	6460676	+	-1	0	0	-	0
BOTH	FBti0019968	ISO1_373_S-element	1712	S-element	2R	6460918	6462630	-	7	1712	1	N	0
FLYBASE	FBti0060311	.	109	Copia	2R	6462842	6462951	+	-1	0	0	-	0
BOTH	FBti0019969	ISO1_374_1360|ISO1_377_1360	6201	1360	2R	6463072	6469273	-	NA	NA	4	Y	2
BOTH	FBti0060325	ISO1_376_G4	5204	G4	2R	6463858	6469062	+	3079	3091	2	N	1
BOTH	FBti0060406	ISO1_375_looper1	1853	looper1	2R	6465096	6466949	+	1526	1853	1	N	0
BOTH	FBti0059778	ISO1_378_transib1|ISO1_381_transib1	11980	transib1	2R	6469276	6481256	+	NA	NA	4	Y	2
BOTH	FBti0059703	ISO1_379_mdg3	10500	mdg3	2R	6469740	6480240	+	0	10500	2	N	1
BOTH	FBti0019972	ISO1_380_Invader3	5476	Invader3	2R	6470819	6476295	+	0	5476	2	N	1
REPET	ISO1_382_Gypsy-2_Dsim	.	614	Gypsy-2_Dsim	2R	6481846	6482460	+	-1	0	0	-	0
FLYBASE	FBti0060365	.	36	Invader6	2R	6481861	6481897	+	-1	36	1	Y	0
FLYBASE	FBti0060362	.	168	Invader1	2R	6482051	6482219	+	-1	168	1	Y	0
FLYBASE	FBti0060402	.	231	Micropia	2R	6482220	6482451	+	-1	231	1	Y	0
BOTH	FBti0018886	ISO1_383_Circe	3433	Circe	2R	6483307	6486740	+	2238	1195	2	N	1
BOTH	FBti0019036	ISO1_384_transib2	2172	transib2	2R	6484504	6486676	+	6	2172	1	N	0
REPET	ISO1_385_G2	.	116	G2	2R	6486977	6487093	+	-1	0	0	-	0
REPET	ISO1_386_Tc3	.	573	Tc3	2R	6487377	6487950	-	-1	0	0	-	0
FLYBASE	FBti0060327	.	99	1360	2R	6488634	6488733	+	-1	0	0	-	0
BOTH	FBti0060381	ISO1_387_G6	2037	G6	2R	6488849	6490886	+	11	2026	1	N	0
REPET	ISO1_388_Mariner_CA	.	347	Mariner_CA	2R	6490905	6491252	-	-1	0	0	-	0
BOTH	FBti0060328	ISO1_389_1360	1179	1360	2R	6491281	6492460	+	0	1179	1	N	0
REPET	ISO1_390_Kepler	.	268	Kepler	2R	6493966	6494234	-	-1	0	0	-	0
BOTH	FBti0018913	ISO1_391_F-element	4706	F-element	2R	6494585	6499291	-	12	4694	1	N	0
BOTH	FBti0060342	ISO1_392_jockey2	234	jockey2	2R	6526307	6526541	+	0	234	1	N	0
BOTH	FBti0060290	ISO1_393_INE-1	104	INE-1	2R	6539006	6539110	+	14	87	1	N	0
FLYBASE	FBti0060291	.	57	INE-1	2R	6550236	6550293	-	-1	0	0	-	0
BOTH	FBti0060293	ISO1_394_INE-1	189	INE-1	2R	6570445	6570634	+	116	180	1	N	0
FLYBASE	FBti0060407	.	46	INE-1	2R	6579469	6579515	-	-1	0	0	-	0
FLYBASE	FBti0060408	.	32	INE-1	2R	6579687	6579719	+	-1	0	0	-	0
BOTH	FBti0018959	ISO1_395_Blastopia	5028	Blastopia	2R	6579828	6584856	+	0	5028	1	N	0
BOTH	FBti0060409	ISO1_396_INE-1	569	INE-1	2R	6609050	6609619	-	34	569	1	N	0
BOTH	FBti0018980	ISO1_397_Invader1	415	Invader1	2R	6622200	6622615	+	5	415	1	N	0
REPET	ISO1_398_INE-1	.	201	INE-1	2R	6624737	6624938	+	-1	0	0	-	0
FLYBASE	FBti0060410	.	48	INE-1	2R	6646653	6646701	+	-1	0	0	-	0
BOTH	FBti0019276	ISO1_399_S-element	1734	S-element	2R	6664234	6665968	+	10	1734	1	N	0
BOTH	FBti0060411	ISO1_400_INE-1	319	INE-1	2R	6709698	6710017	+	12	319	1	N	0
BOTH	FBti0060412	ISO1_401_INE-1	243	INE-1	2R	6720680	6720923	-	17	205	1	N	0
REPET	ISO1_402_Invader2	.	294	Invader2	2R	6730653	6730947	-	-1	0	0	-	0
BOTH	FBti0060421	ISO1_403_INE-1	131	INE-1	2R	6741103	6741234	-	7	124	1	N	0
FLYBASE	FBti0060422	.	79	INE-1	2R	6747064	6747143	+	-1	0	0	-	0
BOTH	FBti0018876	ISO1_404_BS	126	BS	2R	6799594	6799720	+	7	126	1	N	0
FLYBASE	FBti0061055	.	54	INE-1	2R	6807010	6807064	-	-1	0	0	-	0
REPET	ISO1_405_Gypsy-1_Dsim	.	211	Gypsy-1_Dsim	2R	6817434	6817645	-	-1	0	0	-	0
REPET	ISO1_406_Gypsy-1_Dsim	.	102	Gypsy-1_Dsim	2R	6817646	6817748	-	-1	0	0	-	0
FLYBASE	FBti0061056	.	52	INE-1	2R	6824192	6824244	+	-1	0	0	-	0
BOTH	FBti0061057	ISO1_407_INE-1	310	INE-1	2R	6915191	6915501	-	12	309	1	N	0
REPET	ISO1_408_INE-1	.	135	INE-1	2R	6944338	6944473	-	-1	0	0	-	0
BOTH	FBti0061058	ISO1_409_INE-1	193	INE-1	2R	6947121	6947314	-	2	193	1	N	0
BOTH	FBti0061059	ISO1_410_INE-1|ISO1_411_INE-1	518	INE-1	2R	6948454	6948972	-	NA	NA	2	N	2
BOTH	FBti0019040	ISO1_412_Nomad	7524	Nomad	2R	6952219	6959743	+	12	7524	1	N	0
BOTH	FBti0019973	ISO1_413_HB	1632	HB	2R	6989128	6990760	+	2	1632	1	N	0
REPET	ISO1_414_INE-1	.	105	INE-1	2R	7019685	7019790	-	-1	0	0	-	0
BOTH	FBti0061067	ISO1_415_INE-1	117	INE-1	2R	7019854	7019971	-	0	117	1	N	0
REPET	ISO1_416_Gypsy-1_Dsim	.	158	Gypsy-1_Dsim	2R	7020951	7021109	+	-1	0	0	-	0
FLYBASE	FBti0061068	.	37	INE-1	2R	7021303	7021340	+	-1	0	0	-	0
BOTH	FBti0061069	ISO1_417_INE-1	404	INE-1	2R	7022715	7023119	+	7	404	1	N	0
REPET	ISO1_418_INE-1	.	105	INE-1	2R	7031967	7032072	+	-1	0	0	-	0
BOTH	FBti0061070	ISO1_419_INE-1	302	INE-1	2R	7046804	7047106	+	232	302	1	N	0
FLYBASE	FBti0061071	.	55	INE-1	2R	7127941	7127996	+	-1	0	0	-	0
BOTH	FBti0019974	ISO1_420_hopper	1433	hopper	2R	7139978	7141411	+	0	1433	1	N	0
BOTH	FBti0061089	ISO1_421_INE-1	122	INE-1	2R	7163850	7163972	-	0	122	1	N	0
BOTH	FBti0018914	ISO1_422_F-element	4709	F-element	2R	7196627	7201336	-	13	4696	1	N	0
FLYBASE	FBti0061091	.	65	INE-1	2R	7209778	7209843	+	-1	0	0	-	0
BOTH	FBti0019015	ISO1_423_roo	7689	roo	2R	7209896	7217585	-	9	7689	1	N	0
BOTH	FBti0018985	ISO1_424_jockey	5013	jockey	2R	7235875	7240888	+	14	4999	1	N	0
BOTH	FBti0019975	ISO1_425_297	6995	297	2R	7262242	7269237	-	6	6995	1	N	0
BOTH	FBti0061093	ISO1_426_INE-1	90	INE-1	2R	7301246	7301336	+	16	90	1	N	0
BOTH	FBti0061095	ISO1_427_INE-1	108	INE-1	2R	7306020	7306128	-	262	108	1	N	0
FLYBASE	FBti0061097	.	35	INE-1	2R	7316088	7316123	-	-1	0	0	-	0
FLYBASE	FBti0061105	.	50	G5	2R	7317828	7317878	+	-1	0	0	-	0
FLYBASE	FBti0061109	.	44	INE-1	2R	7377346	7377390	+	-1	0	0	-	0
BOTH	FBti0018999	ISO1_428_mariner2	982	mariner2	2R	7394148	7395130	+	21	982	1	N	0
BOTH	FBti0061110	ISO1_429_INE-1	401	INE-1	2R	7396290	7396691	+	2	401	1	N	0
FLYBASE	FBti0061111	.	94	INE-1	2R	7408438	7408532	+	-1	0	0	-	0
